ID,text
I1,"I was completely immersed in the music, as it altered my state of being"
I2,I felt like the music was lifting me into the air
I3,The music provided me with a spiritual experience
I4,The music related to my spirituality
I5,I wanted the music to take me somewhere spiritually
I6,I experienced reality differently while listening to the music
X1,Listening to the music stimulated my curiosity
X2,The music sparked my curiosity
X3,Listening to the music was an intellectual experience for me
X4,I let go of control to experience new and unfamiliar music
X5,I wanted the music to make me feel something new
B1,I appreciated the beauty of the music
B2,I respected the music for its value as a piece of art
B3,The experience was enhanced by the beauty of the music
B4,The music overwhelmed everything else in the situation
B5,I had an unforgettable experience alongside the music
