StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Consent ","Age ","Gender ",OMSI,"Prolific ID ",C _1,C _2,C _3,C _4,C _5,C _6,C _7,C _8,C _9,C _10,C _11,C _12,C _13,C _14,C _15,C _16,"C_Rel ",S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_Rel,Music check,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent to participating?,"What is your age? (e.g., 99)",What is your gender?,"In terms of your musical interest and expertise, which title best describes you?","What is your prolific ID?
Please note that this response should auto-fill with the correct ID","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While with your old friends at a cafe, a particular song comes on. You instantly recognise the music from your common past, leading to an exchange of stories about your experiences together. - I felt like a member of a group while listening to the music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While with your old friends at a cafe, a particular song comes on. You instantly recognise the music from your common past, leading to an exchange of stories about your experiences together. - I felt a bond with the other people listening to the music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While with your old friends at a cafe, a particular song comes on. You instantly recognise the music from your common past, leading to an exchange of stories about your experiences together. - The music made me feel more connected with those around me","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While with your old friends at a cafe, a particular song comes on. You instantly recognise the music from your common past, leading to an exchange of stories about your experiences together. - I felt more connected with other people because of the music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While with your old friends at a cafe, a particular song comes on. You instantly recognise the music from your common past, leading to an exchange of stories about your experiences together. - I felt connected to the people I was sharing this musical experience with","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While with your old friends at a cafe, a particular song comes on. You instantly recognise the music from your common past, leading to an exchange of stories about your experiences together. - I felt connected with people who also listen to this music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While with your old friends at a cafe, a particular song comes on. You instantly recognise the music from your common past, leading to an exchange of stories about your experiences together. - The music made me feel connected to my peers or family","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While with your old friends at a cafe, a particular song comes on. You instantly recognise the music from your common past, leading to an exchange of stories about your experiences together. - The music brought people together","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While with your old friends at a cafe, a particular song comes on. You instantly recognise the music from your common past, leading to an exchange of stories about your experiences together. - The music made me feel more connected to a group","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While with your old friends at a cafe, a particular song comes on. You instantly recognise the music from your common past, leading to an exchange of stories about your experiences together. - The music helped me feel closer to people","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While with your old friends at a cafe, a particular song comes on. You instantly recognise the music from your common past, leading to an exchange of stories about your experiences together. - The music made me feel connected to the people I care about","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While with your old friends at a cafe, a particular song comes on. You instantly recognise the music from your common past, leading to an exchange of stories about your experiences together. - The music made me feel like I belonged","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While with your old friends at a cafe, a particular song comes on. You instantly recognise the music from your common past, leading to an exchange of stories about your experiences together. - I felt a special connection to the people I shared this music with","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While with your old friends at a cafe, a particular song comes on. You instantly recognise the music from your common past, leading to an exchange of stories about your experiences together. - Listening to music made me feel less lonely","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While with your old friends at a cafe, a particular song comes on. You instantly recognise the music from your common past, leading to an exchange of stories about your experiences together. - The music helped me feel less lonely","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




While with your old friends at a cafe, a particular song comes on. You instantly recognise the music from your common past, leading to an exchange of stories about your experiences together. - If you see this statement then select strongly disagree as your answer",How relevant was the scenario based on your own life experience?,"Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you are travelling alone for an extended period, you decide to turn on music that your best friend introduced you to during a memorable trip together. - I felt like a member of a group while listening to the music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you are travelling alone for an extended period, you decide to turn on music that your best friend introduced you to during a memorable trip together. - I felt a bond with the other people listening to the music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you are travelling alone for an extended period, you decide to turn on music that your best friend introduced you to during a memorable trip together. - The music made me feel more connected with those around me","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you are travelling alone for an extended period, you decide to turn on music that your best friend introduced you to during a memorable trip together. - I felt more connected with other people because of the music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you are travelling alone for an extended period, you decide to turn on music that your best friend introduced you to during a memorable trip together. - I felt connected to the people I was sharing this musical experience with","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you are travelling alone for an extended period, you decide to turn on music that your best friend introduced you to during a memorable trip together. - I felt connected with people who also listen to this music","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you are travelling alone for an extended period, you decide to turn on music that your best friend introduced you to during a memorable trip together. - The music made me feel connected to my peers or family","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you are travelling alone for an extended period, you decide to turn on music that your best friend introduced you to during a memorable trip together. - The music brought people together","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you are travelling alone for an extended period, you decide to turn on music that your best friend introduced you to during a memorable trip together. - The music made me feel more connected to a group","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you are travelling alone for an extended period, you decide to turn on music that your best friend introduced you to during a memorable trip together. - The music helped me feel closer to people","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you are travelling alone for an extended period, you decide to turn on music that your best friend introduced you to during a memorable trip together. - The music made me feel connected to the people I care about","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you are travelling alone for an extended period, you decide to turn on music that your best friend introduced you to during a memorable trip together. - The music made me feel like I belonged","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you are travelling alone for an extended period, you decide to turn on music that your best friend introduced you to during a memorable trip together. - I felt a special connection to the people I shared this music with","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you are travelling alone for an extended period, you decide to turn on music that your best friend introduced you to during a memorable trip together. - Listening to music made me feel less lonely","Imagine yourself in the following scenario and then rate how you would respond to the following statements in that experience:




As you are travelling alone for an extended period, you decide to turn on music that your best friend introduced you to during a memorable trip together. - The music helped me feel less lonely",How relevant was the scenario based on your own life experience?,Did you listen to music while completing this survey?,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1218656807""}","{""ImportId"":""QID1218656808_TEXT""}","{""ImportId"":""QID1218656809""}","{""ImportId"":""QID1218656810""}","{""ImportId"":""QID1218656811_TEXT""}","{""ImportId"":""QID1218656816_1""}","{""ImportId"":""QID1218656816_2""}","{""ImportId"":""QID1218656816_3""}","{""ImportId"":""QID1218656816_4""}","{""ImportId"":""QID1218656816_5""}","{""ImportId"":""QID1218656816_6""}","{""ImportId"":""QID1218656816_7""}","{""ImportId"":""QID1218656816_8""}","{""ImportId"":""QID1218656816_9""}","{""ImportId"":""QID1218656816_10""}","{""ImportId"":""QID1218656816_11""}","{""ImportId"":""QID1218656816_12""}","{""ImportId"":""QID1218656816_13""}","{""ImportId"":""QID1218656816_14""}","{""ImportId"":""QID1218656816_15""}","{""ImportId"":""QID1218656816_16""}","{""ImportId"":""QID1218656817""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID11_11""}","{""ImportId"":""QID11_12""}","{""ImportId"":""QID11_13""}","{""ImportId"":""QID11_14""}","{""ImportId"":""QID11_15""}","{""ImportId"":""QID12""}","{""ImportId"":""QID1218656845""}","{""ImportId"":""PROLIFIC_PID""}"
2025-08-27 07:27:28,2025-08-27 07:29:02,0,86.182.188.73,100,94,1,2025-08-27 07:29:03,R_8EujrqUhTNmqI9p,,,,,53.8355,-2.9776,anonymous,EN,2,21,2,2,66ce62c7983bb251283641fb,4,5,3,5,5,5,5,4,4,4,4,3,3,3,4,1,2,3,3,3,4,5,4,4,2,3,4,4,3,5,5,5,1,2,66ce62c7983bb251283641fb
2025-08-27 07:27:30,2025-08-27 07:29:14,0,80.6.248.97,100,103,1,2025-08-27 07:29:15,R_2WO1gDgF0x69Mul,,,,,51.7283,-1.2406,anonymous,EN,2,36,1,1,5fb29577ca2ab98b170f5299,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5fb29577ca2ab98b170f5299
2025-08-27 07:27:31,2025-08-27 07:29:52,0,82.1.226.237,100,140,1,2025-08-27 07:29:52,R_2f3P0DT3WMOLMIz,,,,,55.0475,-7.2611,anonymous,EN,2,44,1,1,666ec9dfb9039b8071d8bb25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,666ec9dfb9039b8071d8bb25
2025-08-27 07:27:56,2025-08-27 07:30:04,0,31.94.32.43,100,128,1,2025-08-27 07:30:05,R_2dYwQO3wHpA7o3U,,,,,51.5591,-0.2283,anonymous,EN,2,45,2,2,67acb0cf6c4b279dfa3babcf,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,67acb0cf6c4b279dfa3babcf
2025-08-27 07:27:24,2025-08-27 07:30:05,0,84.67.7.244,100,161,1,2025-08-27 07:30:05,R_8fk7WmPxla0nSu5,,,,,52.1972,-0.8873,anonymous,EN,2,26,1,4,60efd8e0434fa5c5fdad1620,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,60efd8e0434fa5c5fdad1620
2025-08-27 07:27:48,2025-08-27 07:30:42,0,77.102.209.3,100,173,1,2025-08-27 07:30:42,R_2AJqauX3YtwB1jX,,,,,52.5289,-1.8533,anonymous,EN,2,39,1,4,6672fb66728df1edb72c1568,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,1,6672fb66728df1edb72c1568
2025-08-27 07:28:28,2025-08-27 07:31:30,0,84.71.91.181,100,181,1,2025-08-27 07:31:30,R_8eDkeMr1KcRsLte,,,,,51.4643,-0.0119,anonymous,EN,2,49,1,3,58f669cefb4d7500014af69b,4,5,4,5,5,4,5,5,4,4,5,4,4,4,4,1,3,2,2,1,1,1,1,1,2,2,2,1,1,3,1,1,2,2,58f669cefb4d7500014af69b
2025-08-27 07:28:22,2025-08-27 07:32:37,0,148.252.128.42,100,255,1,2025-08-27 07:32:37,R_2CmdbyyYTGE7573,,,,,51.4964,-0.1224,anonymous,EN,2,36,1,2,5edbf6a29a8d508920c14f6c,3,3,3,3,4,3,3,4,3,2,4,1,3,3,3,1,2,2,3,2,3,3,3,2,3,2,2,2,2,2,3,3,2,2,5edbf6a29a8d508920c14f6c
