ID,text
C1,I felt like a member of a group while listening to the music
C2,I felt a bond with the other people listening to the music
C3,The music made me feel more connected with those around me
C4,I felt more connected with other people because of the music
C5,I felt connected to the people I was sharing this musical experience with
C6,I felt connected with people who also listen to this music
C7,The music made me feel connected to my peers or family
C8,The music brought people together
C9,The music made me feel more connected to a group
S1,The music helped me feel closer to people
S2,The music made me feel connected to the people I care about
S3,The music made me feel like I belonged
S4,I felt a special connection to the people I shared this music with
S5,Listening to music made me feel less lonely
S6,The music helped me feel less lonely
S7,I used the music to keep me company
