ID,text
M1,The music was motivating me to do something
M2,Listening to music made me more alert
M3,The music pumped me up
F1,I used the music to motivate myself
F2,The music kept me concentrated on the task I was supposed to do
F3,The music helped me concentrate
F4,I chose to listen to music to help me focus
F5,The music helped me accomplish work I needed to do
F6,Music helped me focus on what I was doing
F7,The music motivated me to finish the task I had to do
F8,The music reduced my motivation 
F9,I used the music to block out distractions 
F10,I was more focused while listening to the music
F11,The music let me focus on the present moment
